id,journal_name,crawl_date,paper_count
00925853,American Journal of Political Science,2026-01-02,1
00030554,American Political Science Review,2026-01-02,1
10942939,Annual Review of Political Science,2026-01-02,0
00071234,British Journal of Political Science,2026-01-02,3
00104140,Comparative Political Studies,2026-01-02,0
00104159,Comparative Politics,2026-01-02,0
02613794,Electoral Studies,2026-01-02,1
03044130,European Journal of Political Research,2026-01-02,1
00208183,International Organization,2026-01-02,0
01622889,International Security,2026-01-02,0
00208833,International Studies Quarterly,2026-01-02,0
00220027,Journal of Conflict Resolution,2026-01-02,2
20522630,Journal of Experimental Political Science,2026-01-02,0
00223433,Journal of Peace Research,2026-01-02,0
09516298,Journal of Theoretical Politics,2026-01-02,0
03629805,Legislative Studies Quarterly,2026-01-02,0
10490965,PS: Political Science & Politics,2026-01-02,0
13540688,Party Politics,2026-01-02,3
10471987,Political Analysis,2026-01-02,1
01909320,Political Behavior,2026-01-02,1
09626298,Political Geography,2026-01-02,1
0162895X,Political Psychology,2026-01-02,4
20498470,Political Science Research and Methods,2026-01-02,3
00485829,Public Choice,2026-01-02,3
0033362X,Public Opinion Quarterly,2026-01-02,0
15540626,Quarterly Journal of Political Science,2026-01-02,0
20531680,Research & Politics,2026-01-02,0
00223816,Journal of Politics,2026-01-02,0
01402382,West European Politics,2026-01-02,0
00438871,World Politics,2026-01-02,0
15375927,Perspectives on Politics,2026-01-02,0
19457782,AEJ: Applied Economics,2026-01-02,8
19457731,AEJ: Economic Policy,2026-01-02,0
00028282,American Economic Review,2026-01-02,10
19411383,Annual Review of Economics,2026-01-02,0
00129682,Econometrica,2026-01-02,0
00130133,Economic Journal,2026-01-02,2
02664658,Economic Policy,2026-01-02,0
00142921,European Economic Review,2026-01-02,6
03044076,Journal of Econometrics,2026-01-02,6
00220515,Journal of Economic Literature,2026-01-02,0
08953309,Journal of Economic Perspectives,2026-01-02,0
00223808,Journal of Political Economy,2026-01-02,0
00472727,Journal of Public Economics,2026-01-02,1
15424766,Journal of the European Economic Association,2026-01-02,1
00346535,Review of Economics and Statistics,2026-01-02,0
00335533,Quarterly Journal of Economics,2026-01-02,0
00346527,Review of Economic Studies,2026-01-02,3
00031224,American Sociological Review,2026-01-02,2
03600572,Annual Review of Sociology,2026-01-02,0
02667215,European Sociological Review,2026-01-02,0
00377732,Social Forces,2026-01-02,1
00491241,Sociological Methods & Research,2026-01-02,0
14616696,European Societies,2026-01-02,0
00027162,Annals of the American Academy of Political and Social Science,2026-01-02,0
00280836,Nature,2026-01-02,0
23973374,Nature Human Behaviour,2026-01-02,2
00278424,PNAS,2026-01-02,5
00368075,Science,2026-01-02,0
23752548,Science Advances,2026-01-02,1
14751461,Socio-Economic Review,2026-01-02,3
2214594X,Comparative Migration Studies,2026-01-02,3
01419870,Ethnic and Racial Studies,2026-01-02,0
00207985,International Migration,2026-01-02,0
01979183,International Migration Review,2026-01-02,3
1369183X,Journal of Ethnic and Migration Studies,2026-01-02,12
09516328,Journal of Refugee Studies,2026-01-02,3
15448444,Population Space and Place,2026-01-02,6
20566085,Journal of Race Ethnicity and Politics,2026-01-02,0
09521895,Governance,2026-01-02,3
13501763,Journal of European Public Policy,2026-01-02,3
10531858,Journal of Public Administration Research and Theory,2026-01-02,2
0143814X,Journal of Public Policy,2026-01-02,0
00333298,Public Administration,2026-01-02,0
00333352,Public Administration Review,2026-01-02,4
14719037,Public Management Review,2026-01-02,4
17485983,Regulation & Governance,2026-01-02,1
19312458,Communication Methods and Measures,2026-01-02,1
00936502,Communication Research,2026-01-02,1
21670811,Digital Journalism,2026-01-02,0
03603989,Human Communication Research,2026-01-02,0
1369118X,"Information, Communication & Society",2026-01-02,9
21976775,Internet Policy Review,2026-01-02,0
00219916,Journal of Communication,2026-01-02,1
01634437,"Media, Culture & Society",2026-01-02,1
10584609,Political Communication,2026-01-02,0
20563051,Social Media + Society,2026-01-02,1
03085961,Telecommunications Policy,2026-01-02,4
26624435,Communications Earth & Environment,2026-01-02,1
17489326,Environmental Research Letters,2026-01-02,1
01650009,Climatic Change,2026-01-02,1
1758678X,Nature Climate Change,2026-01-02,0
09644016,Environmental Politics,2026-01-02,3
15263800,Global Environmental Politics,2026-01-02,4
14693062,Climate Policy,2026-01-02,0
09593780,Global Environmental Change: Human and Policy Dimensions,2026-01-02,0
00925853,American Journal of Political Science,2025-12-26,0
00030554,American Political Science Review,2025-12-26,1
10942939,Annual Review of Political Science,2025-12-26,0
00071234,British Journal of Political Science,2025-12-26,3
00104140,Comparative Political Studies,2025-12-26,0
00104159,Comparative Politics,2025-12-26,1
02613794,Electoral Studies,2025-12-26,5
03044130,European Journal of Political Research,2025-12-26,0
00208183,International Organization,2025-12-26,0
01622889,International Security,2025-12-26,0
00208833,International Studies Quarterly,2025-12-26,0
00220027,Journal of Conflict Resolution,2025-12-26,1
20522630,Journal of Experimental Political Science,2025-12-26,0
00223433,Journal of Peace Research,2025-12-26,0
09516298,Journal of Theoretical Politics,2025-12-26,1
03629805,Legislative Studies Quarterly,2025-12-26,0
10490965,PS: Political Science & Politics,2025-12-26,0
13540688,Party Politics,2025-12-26,3
10471987,Political Analysis,2025-12-26,1
01909320,Political Behavior,2025-12-26,1
09626298,Political Geography,2025-12-26,2
0162895X,Political Psychology,2025-12-26,2
20498470,Political Science Research and Methods,2025-12-26,5
00485829,Public Choice,2025-12-26,0
0033362X,Public Opinion Quarterly,2025-12-26,0
15540626,Quarterly Journal of Political Science,2025-12-26,0
20531680,Research & Politics,2025-12-26,3
00223816,Journal of Politics,2025-12-26,0
01402382,West European Politics,2025-12-26,2
00438871,World Politics,2025-12-26,0
15375927,Perspectives on Politics,2025-12-26,4
19457782,AEJ: Applied Economics,2025-12-26,0
19457731,AEJ: Economic Policy,2025-12-26,0
00028282,American Economic Review,2025-12-26,0
19411383,Annual Review of Economics,2025-12-26,0
00129682,Econometrica,2025-12-26,0
00130133,Economic Journal,2025-12-26,1
02664658,Economic Policy,2025-12-26,0
00142921,European Economic Review,2025-12-26,3
03044076,Journal of Econometrics,2025-12-26,3
00220515,Journal of Economic Literature,2025-12-26,0
08953309,Journal of Economic Perspectives,2025-12-26,0
00223808,Journal of Political Economy,2025-12-26,0
00472727,Journal of Public Economics,2025-12-26,5
15424766,Journal of the European Economic Association,2025-12-26,3
00346535,Review of Economics and Statistics,2025-12-26,16
00335533,Quarterly Journal of Economics,2025-12-26,0
00346527,Review of Economic Studies,2025-12-26,5
00031224,American Sociological Review,2025-12-26,0
03600572,Annual Review of Sociology,2025-12-26,0
02667215,European Sociological Review,2025-12-26,0
00377732,Social Forces,2025-12-26,2
00491241,Sociological Methods & Research,2025-12-26,0
14616696,European Societies,2025-12-26,0
00027162,Annals of the American Academy of Political and Social Science,2025-12-26,0
00280836,Nature,2025-12-26,0
23973374,Nature Human Behaviour,2025-12-26,3
00278424,PNAS,2025-12-26,1
00368075,Science,2025-12-26,0
23752548,Science Advances,2025-12-26,1
14751461,Socio-Economic Review,2025-12-26,3
2214594X,Comparative Migration Studies,2025-12-26,2
01419870,Ethnic and Racial Studies,2025-12-26,2
00207985,International Migration,2025-12-26,5
01979183,International Migration Review,2025-12-26,1
1369183X,Journal of Ethnic and Migration Studies,2025-12-26,3
09516328,Journal of Refugee Studies,2025-12-26,1
15448444,Population Space and Place,2025-12-26,0
20566085,Journal of Race Ethnicity and Politics,2025-12-26,0
09521895,Governance,2025-12-26,2
13501763,Journal of European Public Policy,2025-12-26,5
10531858,Journal of Public Administration Research and Theory,2025-12-26,1
0143814X,Journal of Public Policy,2025-12-26,0
00333298,Public Administration,2025-12-26,3
00333352,Public Administration Review,2025-12-26,2
14719037,Public Management Review,2025-12-26,5
17485983,Regulation & Governance,2025-12-26,5
19312458,Communication Methods and Measures,2025-12-26,0
00936502,Communication Research,2025-12-26,0
21670811,Digital Journalism,2025-12-26,2
03603989,Human Communication Research,2025-12-26,0
1369118X,"Information, Communication & Society",2025-12-26,3
21976775,Internet Policy Review,2025-12-26,0
00219916,Journal of Communication,2025-12-26,0
01634437,"Media, Culture & Society",2025-12-26,2
10584609,Political Communication,2025-12-26,2
20563051,Social Media + Society,2025-12-26,0
03085961,Telecommunications Policy,2025-12-26,4
26624435,Communications Earth & Environment,2025-12-26,3
17489326,Environmental Research Letters,2025-12-26,2
01650009,Climatic Change,2025-12-26,1
1758678X,Nature Climate Change,2025-12-26,3
09644016,Environmental Politics,2025-12-26,1
15263800,Global Environmental Politics,2025-12-26,0
14693062,Climate Policy,2025-12-26,0
09593780,Global Environmental Change: Human and Policy Dimensions,2025-12-26,5
00925853,American Journal of Political Science,2025-12-19,0
00030554,American Political Science Review,2025-12-19,1
10942939,Annual Review of Political Science,2025-12-19,0
00071234,British Journal of Political Science,2025-12-19,4
00104140,Comparative Political Studies,2025-12-19,0
00104159,Comparative Politics,2025-12-19,2
02613794,Electoral Studies,2025-12-19,0
03044130,European Journal of Political Research,2025-12-19,2
00208183,International Organization,2025-12-19,0
01622889,International Security,2025-12-19,0
00208833,International Studies Quarterly,2025-12-19,0
00220027,Journal of Conflict Resolution,2025-12-19,0
20522630,Journal of Experimental Political Science,2025-12-19,0
00223433,Journal of Peace Research,2025-12-19,0
09516298,Journal of Theoretical Politics,2025-12-19,1
03629805,Legislative Studies Quarterly,2025-12-19,5
10490965,PS: Political Science & Politics,2025-12-19,4
13540688,Party Politics,2025-12-19,0
10471987,Political Analysis,2025-12-19,2
01909320,Political Behavior,2025-12-19,0
09626298,Political Geography,2025-12-19,4
0162895X,Political Psychology,2025-12-19,1
20498470,Political Science Research and Methods,2025-12-19,2
00485829,Public Choice,2025-12-19,4
0033362X,Public Opinion Quarterly,2025-12-19,0
15540626,Quarterly Journal of Political Science,2025-12-19,1
20531680,Research & Politics,2025-12-19,0
00223816,Journal of Politics,2025-12-19,2
01402382,West European Politics,2025-12-19,0
00438871,World Politics,2025-12-19,0
15375927,Perspectives on Politics,2025-12-19,43
19457782,AEJ: Applied Economics,2025-12-19,0
19457731,AEJ: Economic Policy,2025-12-19,0
00028282,American Economic Review,2025-12-19,0
19411383,Annual Review of Economics,2025-12-19,0
00129682,Econometrica,2025-12-19,0
00130133,Economic Journal,2025-12-19,2
02664658,Economic Policy,2025-12-19,0
00142921,European Economic Review,2025-12-19,0
03044076,Journal of Econometrics,2025-12-19,3
00220515,Journal of Economic Literature,2025-12-19,0
08953309,Journal of Economic Perspectives,2025-12-19,0
00223808,Journal of Political Economy,2025-12-19,4
00472727,Journal of Public Economics,2025-12-19,2
15424766,Journal of the European Economic Association,2025-12-19,8
00346535,Review of Economics and Statistics,2025-12-19,0
00335533,Quarterly Journal of Economics,2025-12-19,0
00346527,Review of Economic Studies,2025-12-19,0
00031224,American Sociological Review,2025-12-19,1
03600572,Annual Review of Sociology,2025-12-19,0
02667215,European Sociological Review,2025-12-19,2
00377732,Social Forces,2025-12-19,1
00491241,Sociological Methods & Research,2025-12-19,1
14616696,European Societies,2025-12-19,3
00027162,Annals of the American Academy of Political and Social Science,2025-12-19,12
00280836,Nature,2025-12-19,0
23973374,Nature Human Behaviour,2025-12-19,3
00278424,PNAS,2025-12-19,11
00368075,Science,2025-12-19,1
23752548,Science Advances,2025-12-19,1
14751461,Socio-Economic Review,2025-12-19,2
2214594X,Comparative Migration Studies,2025-12-19,1
01419870,Ethnic and Racial Studies,2025-12-19,8
00207985,International Migration,2025-12-19,0
01979183,International Migration Review,2025-12-19,5
1369183X,Journal of Ethnic and Migration Studies,2025-12-19,5
09516328,Journal of Refugee Studies,2025-12-19,0
15448444,Population Space and Place,2025-12-19,2
20566085,Journal of Race Ethnicity and Politics,2025-12-19,4
09521895,Governance,2025-12-19,3
13501763,Journal of European Public Policy,2025-12-19,0
10531858,Journal of Public Administration Research and Theory,2025-12-19,0
0143814X,Journal of Public Policy,2025-12-19,1
00333298,Public Administration,2025-12-19,1
00333352,Public Administration Review,2025-12-19,7
14719037,Public Management Review,2025-12-19,4
17485983,Regulation & Governance,2025-12-19,2
19312458,Communication Methods and Measures,2025-12-19,0
00936502,Communication Research,2025-12-19,4
21670811,Digital Journalism,2025-12-19,1
03603989,Human Communication Research,2025-12-19,0
1369118X,"Information, Communication & Society",2025-12-19,7
21976775,Internet Policy Review,2025-12-19,1
00219916,Journal of Communication,2025-12-19,0
01634437,"Media, Culture & Society",2025-12-19,0
10584609,Political Communication,2025-12-19,1
20563051,Social Media + Society,2025-12-19,0
03085961,Telecommunications Policy,2025-12-19,3
26624435,Communications Earth & Environment,2025-12-19,4
17489326,Environmental Research Letters,2025-12-19,6
01650009,Climatic Change,2025-12-19,1
1758678X,Nature Climate Change,2025-12-19,1
09644016,Environmental Politics,2025-12-19,6
15263800,Global Environmental Politics,2025-12-19,0
14693062,Climate Policy,2025-12-19,4
09593780,Global Environmental Change: Human and Policy Dimensions,2025-12-19,0
00925853,American Journal of Political Science,2025-12-12,2
00030554,American Political Science Review,2025-12-12,1
10942939,Annual Review of Political Science,2025-12-12,1
00071234,British Journal of Political Science,2025-12-12,2
00104140,Comparative Political Studies,2025-12-12,0
00104159,Comparative Politics,2025-12-12,0
02613794,Electoral Studies,2025-12-12,4
03044130,European Journal of Political Research,2025-12-12,4
00208183,International Organization,2025-12-12,1
01622889,International Security,2025-12-12,0
00208833,International Studies Quarterly,2025-12-12,0
00220027,Journal of Conflict Resolution,2025-12-12,2
20522630,Journal of Experimental Political Science,2025-12-12,2
00223433,Journal of Peace Research,2025-12-12,1
09516298,Journal of Theoretical Politics,2025-12-12,2
03629805,Legislative Studies Quarterly,2025-12-12,2
10490965,PS: Political Science & Politics,2025-12-12,2
13540688,Party Politics,2025-12-12,1
10471987,Political Analysis,2025-12-12,0
01909320,Political Behavior,2025-12-12,0
09626298,Political Geography,2025-12-12,3
0162895X,Political Psychology,2025-12-12,1
20498470,Political Science Research and Methods,2025-12-12,0
00485829,Public Choice,2025-12-12,4
0033362X,Public Opinion Quarterly,2025-12-12,0
15540626,Quarterly Journal of Political Science,2025-12-12,0
20531680,Research & Politics,2025-12-12,0
00223816,Journal of Politics,2025-12-12,9
01402382,West European Politics,2025-12-12,1
00438871,World Politics,2025-12-12,0
15375927,Perspectives on Politics,2025-12-12,1
19457782,AEJ: Applied Economics,2025-12-12,0
19457731,AEJ: Economic Policy,2025-12-12,0
00028282,American Economic Review,2025-12-12,0
19411383,Annual Review of Economics,2025-12-12,0
00129682,Econometrica,2025-12-12,0
00130133,Economic Journal,2025-12-12,3
02664658,Economic Policy,2025-12-12,0
00142921,European Economic Review,2025-12-12,4
03044076,Journal of Econometrics,2025-12-12,5
00220515,Journal of Economic Literature,2025-12-12,0
08953309,Journal of Economic Perspectives,2025-12-12,0
00223808,Journal of Political Economy,2025-12-12,0
00472727,Journal of Public Economics,2025-12-12,1
15424766,Journal of the European Economic Association,2025-12-12,2
