journal_full,issn,journal_short
Communication Methods and Measures,1931-2458,CMM
Communication Methods and Measures,1931-2466,CMM
Communication Research,0093-6502,CR
Digital Journalism,2167-0811,DJ
Digital Journalism,2167-082X,DJ
Human Communication Research,1468-2958,HCR
Internet Policy Review,2197-6775,IPR
Journal of Communication,1460-2466,JOC
Journal of Communication,0021-9916,JOC
"Media, Culture & Society",0163-4437,MCSA
Political Communication,1058-4609,PC
Political Communication,1091-7675,PC
Social Media + Society,2056-3051,SMS
Telecommunications Policy,0308-5961,TCP
"Information, Communication & Society",1369-118X,ICS
"Information, Communication & Society",1468-4462,ICS
