journal_full,issn,journal_short,filter_function
Nature Climate Change,1758-678X,NCC,none
Nature Climate Change,1758-6798,NCC,none
Global Environmental Change,0959-3780,GEC,none
Climatic Change,1573-1480,CC,none
Climatic Change,0165-0009,CC,none
Environmental Research Letters,1748-9326,ERL,none
Environmental Politics,0964-4016,EP,none
Environmental Politics,1743-8934,EP,none
Global Environmental Politics,1526-3800,GEP,none
Global Environmental Politics,1536-0091,GEP,none
Climate Policy,1469-3062,CP,none
Climate Policy,1752-7457,CP,none
Communications Earth & Environment,2662-4435,CEE,none
