journal_full,issn,journal_short
American Journal of Political Science,0092-5853,AJPS
American Journal of Political Science,1540-5907,AJPS
American Political Science Review,0003-0554,APSR
American Political Science Review,1537-5943,APSR
Annual Review of Political Science,1094-2939,AnnuRev
Annual Review of Political Science,1545-1577,AnnuRev
British Journal of Political Science,0007-1234,BJPOL
British Journal of Political Science,1469-2112,BJPOL
European Journal of Political Research,0304-4130,EJPR
European Journal of Political Research,1475-6765,EJPR
Political Science Research and Methods,2049-8470,PSRM
Political Science Research and Methods,2049-8489,PSRM
Quarterly Journal of Political Science,1554-0626,QJPS
Quarterly Journal of Political Science,1554-0634,QJPS
Research & Politics,2053-1680,RAP
The Journal of Politics,0022-3816,JOP
The Journal of Politics,1468-2508,JOP
Political Analysis,1047-1987,PA
Political Analysis,1476-4989,PA
Comparative Political Studies,0010-4140,CPS
Comparative Politics,0010-4159,CMP
Comparative Politics,2151-6227,CMP
Electoral Studies,0261-3794,ElectStud
International Studies Quarterly,0020-8833,ISQ
International Studies Quarterly,1468-2478,ISQ
PS: Political Science & Politics,1049-0965,PS
PS: Political Science & Politics,1537-5935,PS
Political Behavior,0190-9320,PolBehav
Political Behavior,1573-6687,PolBehav
Political Geography,0962-6298,PolGeo
Political Psychology,0162-895X,PolPsyc
Political Psychology,1467-9221,PolPsyc
Public Opinion Quarterly,0033-362X,POQ
Public Opinion Quarterly,1537-5331,POQ
West European Politics,0140-2382,WEP
West European Politics,1743-9655,WEP
World Politics,0043-8871,WP
World Politics,1086-3338,WP
Journal of Experimental Political Science,2052-2630,JEPS
Journal of Experimental Political Science,2052-2649,JEPS
International Organization,0020-8183,IO
International Organization,1531-5088,IO
Journal of Conflict Resolution,0022-0027,JCR
Journal of Conflict Resolution,1552-8766,JCR
International Security,0162-2889,IS
International Security,1531-4804,IS
Journal of Peace Research,0022-3433,JPR
Journal of Theoretical Politics,0951-6298,JTP
Journal of Theoretical Politics,1460-3667,JTP
Legislative Studies Quarterly,0362-9805,LSQ
Legislative Studies Quarterly,1939-9162,LSQ
Party Politics,1354-0688,PP
Party Politics,1460-3683,PP
Public Choice,0048-5829,PubChoice
Public Choice,1573-7101,PubChoice
Perspectives on Politics,1537-5927,PoP
Perspectives on Politics,1541-0986,PoP
