journal_full,issn,journal_short
Public Administration Review,0033-3352,PAR
Public Administration Review,1540-6210,PAR
Journal of Public Administration Research and Theory,1053-1858,JPART
Journal of Public Administration Research and Theory,1477-9803,JPART
Public Management Review,1471-9037,PMR
Public Management Review,1471-9045,PMR
Public Administration,0033-3298,PubA
Public Administration,1467-9299,PubA
Regulation & Governance,1748-5983,RegG
Regulation & Governance,1748-5991,RegG
Governance,0952-1895,Gove
Governance,1468-0491,Gove
Journal of European Public Policy,1350-1763,JEPP
Journal of European Public Policy,1466-4429,JEPP
Journal of Public Policy,0143-814X,JPubPol
Journal of Public Policy,1469-7815,JPubPol
