journal_full,issn,journal_short
American Sociological Review,0003-1224,ASR
American Sociological Review,1939-8271,ASR
Annual Review of Sociology,0360-0572,AnnuRev
Annual Review of Sociology,1545-2115,AnnuRev
Sociological Methods & Research,0049-1241,SociolMethodsRes
Sociological Methods & Research,1552-8294,SociolMethodsRes
Social Forces,0037-7732,SocForces
Social Forces,1534-7605,SocForces
European Sociological Review,0266-7215,ESR
European Sociological Review,1468-2672,ESR
European Societies,1461-6696,ES
European Societies,1469-8307,ES
